project,cohort,rep,label,slot,value_sha256_12,fitness_judged,fitness,failure,fit,support_judged,supported,supported_bool,support_source,propagated_value_differs,module
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,id,da130464d405,True,1.0,none,True,False,,,,,Core/other
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,name,c184f74b4c16,True,1.0,none,True,False,,,,,Core/other
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,title,c184f74b4c16,True,1.0,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,description,4dabf319a89e,True,1.0,none,True,False,,,,,Core/other
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,doi,4e641ded24f0,True,1.0,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,version,9976f8dfb5b1,True,1.0,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,publisher,ddbc28aaf7e8,True,0.95,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,page,79c23e3420a7,True,1.0,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,language,50eac10e7966,True,0.95,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,license,30087c312050,True,0.9,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,created_by,7f7302c199c0,True,1.0,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,conforms_to,8f6d419584dd,True,0.95,none,True,False,,,,,Base (shared descriptive slots)
AI_READI,v1,1,2026-07-28_claude-opus-5-generic_rep1,conforms_to_schema,66f36c1c26ec,True,0.95,none,True,False,,,,,Base (shared descriptive slots)
